City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Andover,,,152,4,52,208
Baltimore,,,44,3,20,67
Chester,,,685,27,187,899
Springfield,,,67,0,0,67
TOTALS,,,948,34,259,"1,241"
