City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Bradford,,,509,28,99,636
Fairlee,,,292,6,58,356
"W. Fairlee",,,134,0,0,134
TOTALS,,,935,34,157,"1,126"
