City/Town,Ward,Pct,"Larry G. Fiske","Cindy Weed",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Progressive
Enosburgh,,,585,390,0,8,983
Montgomery,,,181,242,1,6,430
TOTALS,,,766,632,1,14,"1,413"
