City/Town,Ward,Pct,"David L. Deen","Mike Mrowicki",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Dummerston,,,559,556,4,293,"1,412"
Putney,,,608,677,0,0,"1,285"
Westminster,,,749,664,0,0,"1,413"
TOTALS,,,"1,916","1,897",4,293,"4,110"
