City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Groton,,,221,14,87,322
Newbury,,,497,0,0,497
Topsham,,,219,0,0,219
TOTALS,,,937,14,87,"1,038"
