City/Town,Ward,Pct,"Alice Miller",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Shaftsbury,,,768,0,0,768
Sunderland,,,55,0,0,55
TOTALS,,,823,0,0,823
