City/Town,Ward,Pct,"Daniel F. Connor",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Bakersfield,,,295,8,72,375
Fairfield,,,554,12,77,643
Fletcher,,,294,6,74,374
TOTALS,,,"1,143",26,223,"1,392"
