City/Town,Ward,Pct,"Sandy Haas",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive
Bethel,,,470,15,148,633
Pittsfield,,,118,6,58,182
Rochester,,,315,9,105,429
Stockbridge,,,162,11,61,234
TOTALS,,,"1,065",41,372,"1,478"
