City/Town,Ward,Pct,"Mark Huntley","Stuart Lindberg",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Independent
Cavendish,,,207,249,1,18,475
Weathersfield,,,434,379,0,0,813
TOTALS,,,641,628,1,18,"1,288"
