City/Town,Ward,Pct,"Rebecca Ellis","Tom Stevens","Jerry A. Mullen",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Independent
Bolton,,,205,167,272,3,250,897
Huntington,,,519,503,266,5,366,"1,659"
Waterbury,,,"1,231","1,064",635,0,0,"2,930"
TOTALS,,,"1,955","1,734","1,173",8,616,"5,486"
