City/Town,Ward,Pct,"Robin Chesnut-Tangerman","Valerie Legh Harriss",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Republican
"Middletown Springs",,,224,140,0,9,373
Pawlet,,,280,237,7,7,531
Rupert,,,156,126,0,9,291
Tinmouth,,,90,55,2,5,152
Wells,,,136,226,0,6,368
TOTALS,,,886,784,9,36,"1,715"
