City/Town,Ward,Pct,"Robert L. Bancroft","Liz Subin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Essex,,,390,442,2,50,884
Westford,,,515,286,0,0,801
TOTALS,,,905,728,2,50,"1,685"
