City/Town,Ward,Pct,"Herb Russell","John E. Mattison",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
"Rutland City",,,371,299,0,0,670
TOTALS,,,371,299,0,0,670
