City/Town,Ward,Pct,"Corey Parent","Kathleen C. Keenan","Mike McCarthy","Claude Bouchard",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Democratic,Republican
"St. Albans City",,,953,754,727,510,0,0,"2,944"
"St. Albans Town",,,395,227,196,232,0,0,"1,050"
TOTALS,,,"1,348",981,923,742,0,0,"3,994"
