City/Town,Ward,Pct,"Richard Lawrence","Martha Feltus",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Burke,,,350,349,3,214,916
Lyndon,,,989,981,24,492,"2,486"
Sutton,,,205,175,5,115,500
TOTALS,,,"1,544","1,505",32,821,"3,902"
