City/Town,Ward,Pct,"Patsy French","Marjorie Ryerson","Charles Russell",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Braintree,,,243,210,188,3,163,807
Brookfield,,,299,248,220,6,203,976
Granville,,,73,51,25,0,39,188
Randolph,,,952,837,676,0,0,"2,465"
Roxbury,,,151,113,103,0,0,367
TOTALS,,,"1,718","1,459","1,212",9,405,"4,803"
