City/Town,Ward,Pct,"Catherine Toll",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Cabot,,,375,7,108,490
Danville,,,670,16,153,839
Peacham,,,279,0,0,279
TOTALS,,,"1,324",23,261,"1,608"
