City/Town,Ward,Pct,"Anne B. Donahue","Patti J. Lewis","Jeremy Hansen","Marvin Malek",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Progressive,Progressive
Berlin,,,460,496,346,267,0,207,"1,776"
Northfield,,,"1,017",790,439,267,3,275,"2,791"
TOTALS,,,"1,477","1,286",785,534,3,482,"4,567"
