City/Town,Ward,Pct,"Bill Frank","George Till","Debbie Rackliff","Kyle Walker",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Jericho,,,"1,118","1,212",997,690,0,0,"4,017"
Underhill,,,769,646,578,402,0,0,"2,395"
TOTALS,,,"1,887","1,858","1,575","1,092",0,0,"6,412"
