City/Town,Ward,Pct,"Fred K. Baser","Dave Sharpe","Michael Fisher","Valerie Mullin",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Democratic,Republican
Bristol,,,887,667,640,621,2,303,"3,120"
Lincoln,,,291,338,374,210,0,0,"1,213"
Monkton,,,387,420,392,408,0,0,"1,607"
Starksboro,,,313,342,334,280,0,0,"1,269"
TOTALS,,,"1,878","1,767","1,740","1,519",2,303,"7,209"
