City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Belvidere,,,95,1,10,106
Cambridge,,,"1,003",16,92,"1,111"
Eden,,,238,3,41,282
Elmore,,,299,5,54,358
"Hyde Park",,,"1,061",8,189,"1,258"
Johnson,,,642,9,124,775
Morristown,,,"1,438",7,228,"1,673"
Stowe,,,"1,236",9,252,"1,497"
Waterville,,,186,3,11,200
TOTALS,,,"6,198",61,"1,001","7,260"
