City/Town,Ward,Pct,"Harvey Smith","Susan Smiley",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Bridport,,,282,159,0,7,448
"New Haven",,,429,331,0,0,760
Weybridge,,,184,210,0,0,394
TOTALS,,,895,700,0,7,"1,602"
