City/Town,Ward,Pct,"William Canfield","Robert Helm",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Castleton,,,813,771,17,525,"2,126"
"Fair Haven",,,600,515,16,259,"1,390"
Hubbardton,,,148,150,2,116,416
"W. Haven",,,80,74,0,30,184
TOTALS,,,"1,641","1,510",35,930,"4,116"
