City/Town,Ward,Pct,"Joan G. Lenes",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Shelburne,,,944,0,0,944
"St. George",,,164,0,0,164
TOTALS,,,"1,108",0,0,"1,108"
