City/Town,Ward,Pct,"Patricia A. McCoy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Ira,,,119,3,29,151
Poultney,,,730,15,152,897
TOTALS,,,849,18,181,"1,048"
