City/Town,Ward,Pct,"Robert C. Krebs","Mitzi Johnson","Jason Moquin",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic/Republican,Democratic,Republican
Alburgh,,,324,346,259,2,333,"1,264"
"Grand Isle",,,447,455,493,6,447,"1,848"
"Isle La Motte",,,98,91,117,2,142,450
Milton,,,232,167,207,0,0,606
"N. Hero",,,229,170,245,0,0,644
"S. Hero",,,534,435,312,0,0,"1,281"
TOTALS,,,"1,864","1,664","1,633",10,922,"6,093"
