City/Town,Ward,Pct,"Peg Flory",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Pittsford,,,934,32,0,966
Sudbury,,,212,10,0,222
TOTALS,,,"1,146",42,0,"1,188"
