City/Town,Ward,Pct,"Val Vincent","Robert Dostis","Everett Coffey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican
Duxbury,,,359,294,215,7,0,875
Huntington,,,525,513,243,7,0,"1,288"
Waterbury,,,"1,421","1,269",925,30,0,"3,645"
TOTALS,,,"2,305","2,076","1,383",44,0,"5,808"
