City/Town,Ward,Pct,"Gail Fallar","Bob Weeks",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Shrewsbury,,,301,246,1,0,548
Tinmouth,,,183,71,2,0,256
Wallingford,,,453,440,1,0,894
TOTALS,,,937,757,4,0,"1,698"
