City/Town,Ward,Pct,"Duncan Kilmartin","John K. Hall","Reynold R. Choiniere","Susan A. Davis","Jack Albert Rogers",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Independent,Independent,"Vermont Grassroots"
Coventry,,,133,119,96,100,14,0,0,462
Irasburg,,,268,240,120,111,12,3,0,754
"Newport City",,,728,652,500,433,68,3,0,"2,384"
"Newport Town",,,253,223,182,166,22,2,0,848
TOTALS,,,"1,382","1,234",898,810,116,8,0,"4,448"
