City/Town,Ward,Pct,"John Patrick Tracy","Steve Hingtgen","Gail L. Compton","Barbara Nolfi",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Progressive,Democratic,Progressive
Burlington,-,"Chittenden 3-3 Ward 2",298,219,185,181,15,0,898
Burlington,-,"Chittenden 3-3 Ward 3",886,636,525,547,14,0,"2,608"
Burlington,-,"Chittenden 3-3 Ward 5",59,34,55,31,3,0,182
Burlington,-,"Chittenden 3-3 Ward 6",55,39,40,37,0,0,171
Burlington,-,"Chittenden 3-3 Ward 7",69,42,45,35,1,0,192
TOTALS,,,"1,367",970,850,831,33,0,"4,051"
