City/Town,Ward,Pct,"Rosemary McLaughlin","David W. Lewis",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Royalton,,,540,460,5,0,"1,005"
Tunbridge,,,308,237,0,0,545
TOTALS,,,848,697,5,0,"1,550"
