City/Town,Ward,Pct,"Kurt Wright","Bill Aswad","Jennifer B. Wallace-Brodeur","Gene Shaver",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Democratic,Republican
Burlington,-,"Chittenden 3-1 Ward 4","1,078","1,055",894,676,5,0,"3,708"
Burlington,-,"Chittenden 3-1 Ward 7",609,540,506,276,1,0,"1,932"
TOTALS,,,"1,687","1,595","1,400",952,6,0,"5,640"
