City/Town,Ward,Pct,"Walter Freed",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Danby,,,398,7,0,405
Dorset,,,737,22,0,759
Landgrove,,,68,10,0,78
"Mount Tabor",,,48,5,0,53
Peru,,,127,7,0,134
TOTALS,,,"1,378",51,0,"1,429"
