City/Town,Ward,Pct,"Philip C. Winters","Sylvia R. Kennedy","S. Wells Smith","Bob Bland",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Democratic,Democratic
Chelsea,,,324,357,205,137,1,0,"1,024"
Corinth,,,132,204,335,160,1,0,832
Orange,,,241,224,103,50,0,0,618
Vershire,,,74,94,118,133,1,0,420
Washington,,,182,234,145,87,2,0,650
Williamstown,,,836,630,410,171,1,0,"2,048"
TOTALS,,,"1,789","1,743","1,316",738,6,0,"5,592"
