City/Town,Ward,Pct,"Mark S. Young",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Benson,,,251,14,0,265
Orwell,,,455,11,0,466
Shoreham,,,441,4,0,445
Whiting,,,146,4,0,150
TOTALS,,,"1,293",33,0,"1,326"
