City/Town,Ward,Pct,"Erron J. Carey","Randy Guy",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Andover,,,135,83,0,0,218
Baltimore,,,52,29,0,0,81
Chester,,,647,483,0,0,"1,130"
Springfield,,,8,12,1,0,21
TOTALS,,,842,607,1,0,"1,450"
