City/Town,Ward,Pct,"Ruth H. Towne","Steve Green",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
"Barre City",,,88,121,0,0,209
Berlin,,,564,459,2,0,"1,025"
TOTALS,,,652,580,2,0,"1,234"
