City/Town,Ward,Pct,"Robert Helm","David Rogers","Patrick H. Eagan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican,Independent
Castleton,,,875,767,579,14,0,"2,235"
"Fair Haven",,,625,448,367,10,0,"1,450"
Hubbardton,,,124,127,111,3,0,365
"W. Haven",,,78,59,28,0,0,165
TOTALS,,,"1,702","1,401","1,085",27,0,"4,215"
