City/Town,Ward,Pct,"Philip E. Bartlett","Betty M. Bolognani",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic
Dover,,,344,130,3,0,477
Readsboro,,,99,161,1,0,261
Searsburg,,,27,11,0,0,38
Stamford,,,96,195,0,0,291
Wardsboro,,,145,119,1,0,265
TOTALS,,,711,616,5,0,"1,332"
