City/Town,Ward,Pct,"Floyd Nease","Richard Doty, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Eden,,,197,118,2,0,317
Johnson,,,800,252,1,0,"1,053"
TOTALS,,,997,370,3,0,"1,370"
