City/Town,Ward,Pct,"Bernie Sanders","William Meub","Jane Newton","Fawn Skinner","Daniel H. Krymkowski",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican,"Liberty Union/Progressive","Vermont Grassroots",Libertarian
Swanton,,,"1,199",577,6,11,10,1,0,"1,804"
Thetford,,,865,240,9,10,14,0,0,"1,138"
Tinmouth,,,139,105,3,6,3,0,0,256
Topsham,,,217,170,5,6,4,1,0,403
Townshend,,,332,169,34,17,6,0,0,558
Troy,,,257,105,4,4,5,1,0,376
Tunbridge,,,344,175,4,3,10,0,0,536
Underhill,,,"1,018",473,4,18,16,0,0,"1,529"
Vergennes,,,645,241,5,10,7,1,0,909
Vernon,,,386,430,7,9,6,0,0,838
Vershire,,,163,72,3,7,5,2,0,252
Victory,,,31,14,0,1,1,0,0,47
Waitsfield,,,625,232,7,11,3,0,0,878
Walden,,,267,93,1,13,2,0,0,376
Wallingford,,,473,367,4,11,11,0,0,866
Waltham,,,156,79,0,2,2,0,0,239
Wardsboro,,,152,94,12,6,3,0,0,267
Warren,,,572,183,11,13,12,2,0,793
Washington,,,252,126,6,4,1,2,0,391
Waterbury,,,"1,529",533,7,14,13,1,0,"2,097"
Waterford,,,240,258,6,2,4,0,0,510
Waterville,,,174,78,2,1,0,0,0,255
Weathersfield,,,733,356,21,14,6,0,0,"1,130"
Wells,,,146,165,5,5,10,0,0,331
"W. Fairlee",,,153,59,2,1,2,0,0,217
"W. Haven",,,51,43,0,2,3,0,0,99
"W. Rutland",,,459,316,3,9,7,1,0,795
"W. Windsor",,,306,163,5,3,1,0,0,478
Westfield,,,136,52,1,6,1,1,0,197
Westford,,,604,233,6,5,5,0,0,853
Westminster,-,"Windham Ward 4",43,10,2,2,0,0,0,57
Westminster,-,"Windham Ward 5",897,223,16,19,8,3,0,"1,166"
Westmore,,,116,53,0,0,2,3,0,174
Weston,,,171,111,11,4,4,0,0,301
Weybridge,,,273,156,2,4,2,1,0,438
Wheelock,,,115,90,1,7,4,0,0,217
Whiting,,,123,41,1,2,2,0,0,169
