City/Town,Ward,Pct,"Elizabeth M. Ready","Bruce Hyde","Lynn Appleby","Dennis Lane","Murray Ngoima",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,"Vermont Grassroots",Libertarian,"Liberty Union"
Waltham,,,110,107,7,10,2,0,0,236
Wardsboro,,,125,113,11,7,2,0,0,258
Warren,,,283,427,10,55,6,0,0,781
Washington,,,170,178,22,6,5,0,0,381
Waterbury,,,998,928,60,36,10,1,0,"2,033"
Waterford,,,152,319,15,13,5,0,0,504
Waterville,,,126,109,7,3,4,0,0,249
Weathersfield,,,551,460,43,18,17,0,0,"1,089"
Wells,,,124,179,16,11,3,0,0,333
"W. Fairlee",,,102,79,14,1,4,0,0,200
"W. Haven",,,37,51,4,3,0,0,0,95
"W. Rutland",,,382,334,32,12,5,0,0,765
"W. Windsor",,,224,195,17,8,8,0,0,452
Westfield,,,96,68,17,5,5,0,0,191
Westford,,,455,323,25,16,10,1,0,830
Westminster,-,"Windham Ward 4",35,14,6,0,1,0,0,56
Westminster,-,"Windham Ward 5",736,312,51,16,15,0,0,"1,130"
Westmore,,,85,72,10,1,1,0,0,169
Weston,,,138,133,12,6,3,0,0,292
Weybridge,,,200,209,7,4,2,0,0,422
Wheelock,,,88,106,12,5,3,0,0,214
Whiting,,,83,69,4,2,0,0,0,158
Whitingham,,,178,243,21,10,6,0,0,458
Williamstown,,,460,659,37,28,20,0,0,"1,204"
Williston,,,"1,771","1,779",52,41,8,3,0,"3,654"
Wilmington,,,366,408,59,20,14,0,0,867
Windham,,,69,55,9,1,2,0,0,136
Windsor,,,652,357,46,19,13,0,0,"1,087"
Winhall,,,114,177,15,5,0,0,0,311
Winooski,,,"1,060",442,59,25,6,2,0,"1,594"
Wolcott,,,278,193,26,10,1,1,0,509
Woodbury,,,174,170,18,9,3,0,0,374
Woodford,,,86,36,9,4,6,0,0,141
Woodstock,,,702,523,30,18,83,1,0,"1,357"
Worcester,,,247,150,26,8,2,1,0,434
TOTALS,,,"113,240","93,342","8,172","3,676","2,036",189,0,"220,655"
