City/Town,Ward,Pct,"Patsy French","Stephen W. Webster","Kenneth Smith","Mike Fiorillo","Scott Berkey",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican,Republican,Democratic,Independent
Braintree,,,206,248,236,157,44,0,0,891
Brookfield,,,261,240,219,286,72,1,0,"1,079"
Granville,,,50,33,44,53,10,0,0,190
Randolph,,,914,778,744,729,240,2,0,"3,407"
TOTALS,,,"1,431","1,299","1,243","1,225",366,3,0,"5,567"
