City/Town,Ward,Pct,"Willem Jewett","Ward Mann",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cornwall,,,360,234,0,0,594
Goshen,,,55,51,0,0,106
Hancock,,,65,66,1,0,132
Leicester,,,154,341,1,0,496
Ripton,,,219,79,0,0,298
Salisbury,,,194,250,0,0,444
TOTALS,,,"1,047","1,021",2,0,"2,070"
