City/Town,Ward,Pct,"George C. Cross","Kenneth W. Atkins",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic
Burlington,,,316,306,11,0,633
Winooski,,,"1,147","1,129",37,0,"2,313"
TOTALS,,,"1,463","1,435",48,0,"2,946"
