City/Town,Ward,Pct,"Ernest W. Shand","Gary Richardson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Cavendish,,,218,300,1,0,519
Weathersfield,,,634,518,0,0,"1,152"
TOTALS,,,852,818,1,0,"1,671"
