City/Town,Ward,Pct,"Rick Hube",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican/Democratic
Jamaica,,,305,18,0,323
Londonderry,,,541,27,0,568
Stratton,,,67,1,0,68
Weston,,,266,8,0,274
Winhall,,,291,4,0,295
TOTALS,,,"1,470",58,0,"1,528"
