City/Town,Ward,Pct,"David Zuckerman","Bob Kiss","Anthony Gierzynski","Nancy Kirby",Write-Ins,Blanks,"Total Votes Cast"
,,,Progressive,Progressive,Democratic,Democratic
Burlington,-,"Chittenden 3-4 Ward 1",707,587,492,432,7,0,"2,225"
Burlington,-,"Chittenden 3-4 Ward 2",375,336,185,204,6,0,"1,106"
Burlington,-,"Chittenden 3-4 Ward 6",118,99,113,100,0,0,430
TOTALS,,,"1,200","1,022",790,736,13,0,"3,761"
