City/Town,Ward,Pct,"Andy Donaghy","Fred Maslack",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ira,,,12,11,0,0,23
Poultney,,,757,425,0,0,"1,182"
TOTALS,,,769,436,0,0,"1,205"
