City/Town,Ward,Pct,"Susan Bartlett","Cathy Voyer",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Belvidere,,,36,61,1,0,98
Cambridge,,,677,546,1,0,"1,224"
Elmore,,,231,153,3,0,387
"Hyde Park",,,662,494,3,0,"1,159"
Johnson,,,697,356,2,0,"1,055"
Morristown,,,"1,032",845,13,0,"1,890"
Stowe,,,662,"1,369",4,0,"2,035"
Waterville,,,129,121,0,0,250
TOTALS,,,"4,126","3,945",27,0,"8,098"
