City/Town,Ward,Pct,"William Johnson","Peter Sprague","Alan Learnard",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,"Liberty Union"
Brighton,,,220,250,15,0,0,485
Canaan,,,257,40,4,0,0,301
"E. Haven",,,59,19,29,0,0,107
Lemington,,,34,4,0,0,0,38
Newark,,,102,72,13,0,0,187
Norton,,,49,8,1,1,0,59
Westmore,,,89,63,12,1,0,165
TOTALS,,,810,456,74,2,0,"1,342"
