City/Town,Ward,Pct,"Jack W. Anderson","Paul E. Kendall, Jr",Write-Ins,Blanks,"Total Votes Cast"
,,,Independent,Republican
Reading,,,176,129,1,0,306
Woodstock,,,984,442,3,0,"1,429"
TOTALS,,,"1,160",571,4,0,"1,735"
