City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe","Craig Scribner, Sr","Gerald Masterson",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bristol,,,749,757,776,563,1,0,"2,846"
Lincoln,,,423,342,201,227,0,0,"1,193"
Monkton,,,545,447,308,261,0,0,"1,561"
Starksboro,,,421,357,266,251,0,0,"1,295"
TOTALS,,,"2,138","1,903","1,551","1,302",1,0,"6,895"
