City/Town,Ward,Pct,"Wayne G. Kenyon","Neil Randall",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bradford,,,506,379,7,0,892
Fairlee,,,233,171,0,0,404
"W. Fairlee",,,119,92,1,0,212
TOTALS,,,858,642,8,0,"1,508"
