City/Town,Ward,Pct,"Michael Reese",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic
Barnard,,,349,6,0,355
Hartford,,,565,11,0,576
Pomfret,,,412,12,0,424
TOTALS,,,"1,326",29,0,"1,355"
