City/Town,Ward,Pct,"Jim Douglas","Doug Racine","Cornelius Hogan","Cris Ericson","Michael J. Badamo","Joel Williams","Patricia Hejny","Marilynn Christian","Pete Diamondstone","Brian Pearl",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Democratic,Independent,"Make Marijuana Legal",Progressive,Libertarian,"Vermont Grassroots","Restore Justice-Freedom",Progressive,Independent
Weybridge,,,216,193,28,2,2,1,0,0,0,0,0,0,442
Wheelock,,,125,76,19,0,0,0,0,0,0,0,0,0,220
Whiting,,,77,80,8,0,3,0,0,1,0,0,0,0,169
Whitingham,,,268,133,61,6,4,1,5,3,3,1,0,0,485
Williamstown,,,661,312,244,6,6,1,14,0,0,1,2,0,"1,247"
Williston,,,"1,994","1,441",330,8,13,9,3,3,3,5,2,0,"3,811"
Wilmington,,,423,266,206,23,2,4,10,7,13,2,0,0,956
Windham,,,67,59,5,4,3,2,0,0,0,1,0,0,141
Windsor,,,406,585,99,17,2,9,3,8,5,3,1,0,"1,138"
Winhall,,,200,96,13,6,3,2,2,0,0,2,1,0,325
Winooski,,,621,862,149,9,8,2,1,1,2,6,1,0,"1,662"
Wolcott,,,215,218,75,7,7,2,1,2,1,0,1,0,529
Woodbury,,,164,154,54,1,4,2,1,1,1,0,0,0,382
Woodford,,,57,59,19,3,1,0,0,3,1,4,0,0,147
Woodstock,,,553,644,206,7,6,10,4,1,3,3,1,0,"1,438"
Worcester,,,131,227,86,4,5,0,2,0,0,0,0,0,455
TOTALS,,,"103,436","97,565","22,353","1,737","1,380",938,771,638,625,569,149,0,"230,161"
