City/Town,Ward,Pct,"Lawrence E. Molloy","John Mendenhall",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Arlington,,,477,416,9,0,902
Rupert,,,16,28,1,0,45
Sandgate,,,73,67,0,0,140
Sunderland,,,177,148,0,0,325
TOTALS,,,743,659,10,0,"1,412"
