City/Town,Ward,Pct,"David Brown","Roger Fox",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Hardwick,,,694,367,0,0,"1,061"
Stannard,,,39,51,1,0,91
Walden,,,223,152,0,0,375
TOTALS,,,956,570,1,0,"1,527"
