City/Town,Ward,Pct,"Cola H. Hudson","Howard Crawford",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Republican
Burke,,,394,417,23,0,834
Lyndon,,,"1,273","1,182",39,0,"2,494"
Sutton,,,235,241,5,0,481
TOTALS,,,"1,902","1,840",67,0,"3,809"
