City/Town,Ward,Pct,"Harry L. Chen","Ira M. Pike",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Republican
Bridgewater,,,234,142,0,0,376
Chittenden,,,377,196,0,0,573
Killington,,,195,253,0,0,448
Mendon,,,286,206,0,0,492
TOTALS,,,"1,092",797,0,0,"1,889"
