City/Town,Ward,Pct,"Steve Larrabee","Jonathan David Kaplan",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican,Independent
Cabot,,,258,203,3,0,464
Danville,,,659,210,1,0,870
Peacham,,,194,151,2,0,347
TOTALS,,,"1,111",564,6,0,"1,681"
