City/Town,Ward,Pct,"Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,Republican
Barnet,,,510,36,0,546
Ryegate,,,306,27,0,333
Waterford,,,467,6,0,473
TOTALS,,,"1,283",69,0,"1,352"
