City/Town,Ward,Pct,"Gaye Symington","Margaret P. Hummel","Marc Maheux","Eileen Haupt",Write-Ins,Blanks,"Total Votes Cast"
,,,Democratic,Democratic,Republican,Republican
Bolton,,,236,245,171,148,0,0,800
Jericho,,,"1,198","1,095","1,026","1,025",2,0,"4,346"
Underhill,,,847,900,583,554,3,0,"2,887"
TOTALS,,,"2,281","2,240","1,780","1,727",5,0,"8,033"
